电影名称,电影海报,电影评分,电影类型,电影主演,电影上映时间
周处除三害,https://p0.pipi.cn/mmdb/54ecdebe80751becd8c9fd799d14608745656.jpg?imageView2/1/w/160/h/220,9.4,动作／犯罪／悬疑,阮经天／袁富华／陈以文,2024-03-01 09:00
熊出没·逆转时空,https://p0.pipi.cn/mmdb/fb73862f8eaf2ac69621f0befccf7a5f5f8b4.jpg?imageView2/1/w/160/h/220,9.4,动画／喜剧／科幻,谭笑／张茗,2024-02-10 09:00
还是觉得你最好2,https://p0.pipi.cn/mmdb/54ecdebe5375bf02ffbe2acd258252387da60.jpg?imageView2/1/w/160/h/220,7.7,剧情,邓丽欣／张继聪／王菀之,2024-02-24 09:00
热辣滚烫,https://p0.pipi.cn/mmdb/54ecdebe51bddd030c1789a49a18089e5bcaf.jpg?imageView2/1/w/160/h/220,9.2,喜剧／剧情,贾玲／雷佳音／张小斐,2024-02-10 09:00
被我弄丢的你,https://p0.pipi.cn/mmdb/54ecde8d338807b86017890eb5ebcca70f917.jpg?imageView2/1/w/160/h/220,9.3,爱情／剧情,檀健次／张婧仪／蒋龙,2024-03-08 10:00
沙丘,https://p0.pipi.cn/mmdb/54ecdebe7a351bd236338f286ef35867b5772.jpg?imageView2/1/w/160/h/220,7.8,科幻／冒险／动作,提莫西·查拉梅／丽贝卡·弗格森／奥斯卡·伊萨克,2024-03-01 17:00
沙丘2,https://p0.pipi.cn/mmdb/54ecdebe7a351bd236c69612ca47cec9ad381.jpg?imageView2/1/w/160/h/220,9.3,科幻／动作／冒险／剧情,提莫西·查拉梅／赞达亚·科尔曼／丽贝卡·弗格森,2024-03-08 12:00
第二十条,https://p0.pipi.cn/mmdb/54ecde8d2ff51b8d33300beb713232e1932ab.jpg?imageView2/1/w/160/h/220,9.5,喜剧／剧情／家庭,雷佳音／马丽／赵丽颖,2024-02-10 09:00
奥本海默,https://p0.pipi.cn/mmdb/54ecde8d537923be127a35edaa7ed1b006af8.jpg?imageView2/1/w/160/h/220,9.3,剧情／传记／历史,基里安·墨菲／艾米莉·布朗特／马特·达蒙,2024-03-01
飞驰人生2,https://p0.pipi.cn/mmdb/54ecde9a339ddd57e2339e0cf17a3e30cebc0.jpg?imageView2/1/w/160/h/220,9.5,喜剧／剧情,沈腾／范丞丞／尹正,2024-02-10 09:00
功夫熊猫4,https://p0.pipi.cn/mmdb/54ecdebe8ea3397df51789d7575f199f5e088.jpg?imageView2/1/w/160/h/220,8.9,动画／动作／冒险,杰克·布莱克／黄渤／奥卡菲娜,2024-03-22
